timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-05-04,120.82,121.97,119.39,121.68,101.249839101,4016551,0,1
2020-05-01,123.19,123.47,121.39,121.87,101.407937962,4923913,0,1
2020-04-30,126.52,127.27,125.22,125.56,104.478384266,6630032,0,1
2020-04-29,128.88,129.31,127.53,128.69,107.08285498,5252734,0,1
2020-04-28,128.03,128.2,125.38,126.27,105.069174748,4775867,0,1
2020-04-27,125.56,126.99,125.47,125.92,104.777940003,4920443,0,1
2020-04-24,122.41,125,120.76,124.72,103.77942088,4985575,0,1
2020-04-23,119.57,123.03,119.12,121.35,100.975246342,6873899,0,1
2020-04-22,119.87,120.33,117.55,119.31,99.2777638326,7085901,0,1
2020-04-21,114,117.15,112.06,116.76,97.1559106956,14341304,0,1
2020-04-20,119.15,122.86,118.14,120.41,100.193073029,7965530,0,1
2020-04-17,119.3,120.39,117.92,120.12,99.9517642408,4964018,0,1
2020-04-16,119.01,119.75,114.42,115.73,96.2988484481,6438128,0,1
2020-04-15,119.12,120.19,116.76,118.69,98.7618622856,5632156,0,1
2020-04-14,123.46,125.18,122.62,123.91,103.105420472,5087292,0,1
2020-04-13,121.63,121.8,118.04,121.15,100.808826488,5118777,0,1
2020-04-09,120.48,122.92,120.17,121.5,101.100061233,5576210,0,1
2020-04-08,116.31,119.96,115.07,119.29,99.2611218472,5155987,0,1
2020-04-07,118.8,119.57,114.87,114.94,95.6414900253,5592463,0,1
2020-04-06,110.35,115.63,110.13,114.82,95.541638113,7026457,0,1
2020-04-03,108.92,110.07,104.92,106.34,88.4854363084,4538113,0,1
2020-04-02,105.37,110.32,105.14,110,91.5309196344,6327540,0,1
2020-04-01,106.36,109.92,104.52,105.14,87.4869171851,6111890,0,1
2020-03-31,112,113.81,110.17,110.93,92.304771955,6342167,0,1
2020-03-30,108.09,113.46,107.81,112.93,93.9689704938,5562501,0,1
2020-03-27,108.58,111.5,107.65,108.03,89.8916840737,6421470,0,1
2020-03-26,106.91,113.15,105.57,112.89,93.935686523,7153135,0,1
2020-03-25,105.48,112.48,102.83,105.85,88.0777076664,8646557,0,1
2020-03-24,99.99,106.04,99.26,105.48,87.7698309367,7967768,0,1
2020-03-23,94.6,97.74,90.56,94.77,78.8580477614,9718602,0,1
2020-03-20,100.92,100.99,94.71,95.39,79.3739493085,10543213,0,1
2020-03-19,102.33,103.69,98.24,100.34,83.492840692,8391294,0,1
2020-03-18,99.41,106.93,99.4,103.55,86.1638793468,8751994,0,1
2020-03-17,100.61,107.4,97.1,106.65,88.7433870819,8887501,0,1
2020-03-16,98,107.41,95,99.08,82.4443956126,10564044,0,1
2020-03-13,108.68,109.16,100.81,107.95,89.8251161322,12493419,0,1
2020-03-12,109.65,109.8,102.28,102.81,85.5481258874,12485925,0,1
2020-03-11,121.01,122.58,116.38,117.97,98.1627508116,8446480,0,1
2020-03-10,122.78,124.88,115.76,124.77,103.821025844,11403865,0,1
2020-03-09,120.16,122.41,117.28,117.81,98.0296149285,10750357,0,1
2020-03-06,126.7,128.33,124.52,127.73,106.284039681,8192525,0,1
2020-03-05,130.5,132.29,128.45,129.55,107.798460351,5445193,0,1
2020-03-04,131.58,134.28,129,134.22,111.684363939,4994682,0,1
2020-03-03,134.48,136.1,127.8,128.9,107.257595826,7893390,0,1
2020-03-02,130.75,134.44,127.95,134.3,111.750931881,8528971,0,1
2020-02-28,129.98,131.09,126.36,130.15,108.297719913,13009236,0,1
2020-02-27,137.24,138.69,133.01,133.11,110.76073375,8404903,0,1
2020-02-26,142.9,144.06,139.6,139.75,116.285872899,5407690,0,1
2020-02-25,146.51,147.07,141.26,141.71,117.916787467,6210878,0,1
